ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60018.2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59616.8
1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,76103.2
0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,86601.8
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,64710.4
1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,71181.0
0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,66694.0
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,77497.2
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,69790.8
0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,73295.8
0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,64058.0
1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,65117.4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59583.6
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,62850.8
0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,67524.8
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,62763.6
